TIC ID,class,confidence
125789421,Delta Scuti,0.99780887
33149129,Delta Scuti,0.99751186
67905568,Delta Scuti,0.99694532
59213189,Delta Scuti,0.99666291
208576321,Delta Scuti,0.99663866
65144371,Delta Scuti,0.99647021
123107967,Delta Scuti,0.99633008
234055029,Delta Scuti,0.99621224
247680000,Delta Scuti,0.99619639
123107967,Delta Scuti,0.99619365
11350668,Delta Scuti,0.99616963
229167951,Delta Scuti,0.9960919
464955936,Delta Scuti,0.99604058
152714879,Delta Scuti,0.99603027
331374266,Delta Scuti,0.99599659
366621177,Delta Scuti,0.99598157
293564927,Delta Scuti,0.99597317
293563279,Delta Scuti,0.99586356
65144371,Delta Scuti,0.9958028
284996536,Delta Scuti,0.99575728
83459739,Delta Scuti,0.99572241
11350668,Delta Scuti,0.99568105
200806294,Delta Scuti,0.99561077
279362771,Delta Scuti,0.99560624
200806294,Delta Scuti,0.99557674
276055067,Delta Scuti,0.99552441
265606698,Delta Scuti,0.99546021
309854196,Delta Scuti,0.99542314
276055067,Delta Scuti,0.99541664
419353122,Delta Scuti,0.99540895
3960276,Delta Scuti,0.99540722
182536368,Delta Scuti,0.99534339
238830991,Delta Scuti,0.99531388
152370107,Delta Scuti,0.99530041
94582748,Delta Scuti,0.99526346
309854196,Delta Scuti,0.99525589
143079876,Delta Scuti,0.99525023
250022670,Delta Scuti,0.99521989
263496454,Delta Scuti,0.995192289
184224098,Delta Scuti,0.99517149
159190524,Delta Scuti,0.99513572
159190524,Delta Scuti,0.99510163
165448744,Delta Scuti,0.99509639
452704109,Delta Scuti,0.99508947
453396873,Delta Scuti,0.99508202
447601189,Delta Scuti,0.99506432
247680000,Delta Scuti,0.99505949
83459739,Delta Scuti,0.9949497
83459739,Delta Scuti,0.99494427
234167666,Delta Scuti,0.99493814
263496454,Delta Scuti,0.99492127
419414731,Delta Scuti,0.99485993
182536368,Delta Scuti,0.99485189
148668056,Delta Scuti,0.99480718
201291943,Delta Scuti,0.99479538
43795583,Delta Scuti,0.99478638
284729193,Delta Scuti,0.99476212
341294179,Delta Scuti,0.99475771
229390865,Delta Scuti,0.99474031
217944874,Delta Scuti,0.99473464
332078713,Delta Scuti,0.99464095
377019427,Delta Scuti,0.99462378
377019427,Delta Scuti,0.99460632
436090735,Delta Scuti,0.994576335
452609144,Delta Scuti,0.99454862
4291006,Delta Scuti,0.99452066
353885970,Delta Scuti,0.99451584
158787200,Delta Scuti,0.99449772
